10,0 67.85714285714286,1 73.33333333333333,2 75.67567567567568
11,0 59.523809523809526,1 94.44444444444444,2 62.16216216216216
12,0 65.47619047619048,1 41.11111111111111,2 60.810810810810814
13,0 84.52380952380952,1 75.55555555555556,2 74.32432432432432
14,0 83.33333333333334,1 91.11111111111111,2 71.62162162162163
15,0 83.33333333333334,1 84.44444444444444,2 71.62162162162163
16,0 54.761904761904766,1 64.44444444444444,2 79.72972972972973
17,0 75.0,1 47.77777777777778,2 55.4054054054054
18,0 73.80952380952381,1 67.77777777777779,2 79.72972972972973
19,0 86.90476190476191,1 87.77777777777777,2 83.78378378378379
20,0 92.85714285714286,1 83.33333333333334,2 71.62162162162163
21,0 82.14285714285714,1 98.88888888888889,2 83.78378378378379
22,0 88.09523809523809,1 74.44444444444444,2 74.32432432432432
23,0 71.42857142857143,1 81.11111111111111,2 83.78378378378379
24,0 85.71428571428571,1 90.0,2 91.8918918918919
25,0 90.47619047619048,1 75.55555555555556,2 77.02702702702703
26,0 90.47619047619048,1 88.88888888888889,2 97.2972972972973
27,0 78.57142857142857,1 94.44444444444444,2 95.94594594594594
28,0 89.28571428571429,1 92.22222222222223,2 95.94594594594594
29,0 97.61904761904762,1 91.11111111111111,2 86.48648648648648
30,0 95.23809523809523,1 95.55555555555556,2 91.8918918918919
31,0 79.76190476190477,1 78.88888888888889,2 82.43243243243244
32,0 95.23809523809523,1 83.33333333333334,2 95.94594594594594
33,0 92.85714285714286,1 94.44444444444444,2 94.5945945945946
34,0 97.61904761904762,1 86.66666666666667,2 94.5945945945946
35,0 91.66666666666666,1 97.77777777777777,2 83.78378378378379
36,0 89.28571428571429,1 90.0,2 91.8918918918919
37,0 100.0,1 94.44444444444444,2 90.54054054054053
38,0 88.09523809523809,1 91.11111111111111,2 94.5945945945946
39,0 95.23809523809523,1 86.66666666666667,2 94.5945945945946
40,0 98.80952380952381,1 96.66666666666667,2 85.13513513513513
41,0 95.23809523809523,1 98.88888888888889,2 98.64864864864865
42,0 96.42857142857143,1 100.0,2 94.5945945945946
43,0 95.23809523809523,1 98.88888888888889,2 97.2972972972973
44,0 95.23809523809523,1 96.66666666666667,2 100.0
45,0 88.09523809523809,1 97.77777777777777,2 97.2972972972973
46,0 98.80952380952381,1 94.44444444444444,2 98.64864864864865
47,0 98.80952380952381,1 91.11111111111111,2 91.8918918918919
48,0 95.23809523809523,1 100.0,2 100.0
49,0 96.42857142857143,1 100.0,2 100.0
50,0 100.0,1 96.66666666666667,2 93.24324324324324
51,0 97.61904761904762,1 100.0,2 100.0
52,0 94.04761904761905,1 98.88888888888889,2 100.0
53,0 96.42857142857143,1 93.33333333333333,2 98.64864864864865
54,0 100.0,1 100.0,2 93.24324324324324
55,0 97.61904761904762,1 98.88888888888889,2 100.0
56,0 100.0,1 97.77777777777777,2 100.0
57,0 100.0,1 87.77777777777777,2 98.64864864864865
58,0 98.80952380952381,1 96.66666666666667,2 100.0
59,0 100.0,1 98.88888888888889,2 98.64864864864865
